t com min rx ry rz
8.42 1.606515 0.5960102 57.78038 249.7989 229.2608
8.44 1.754082 0.6819832 54.7321 250.6626 231.6051
8.46 1.897725 0.7688026 51.6706 251.2646 233.7117
8.48 2.037445 0.856663 48.6014 251.6586 235.6369
8.5 2.17324 0.9457412 45.52871 251.883 237.4223
8.52 2.305112 1.036194 42.45589 251.9663 239.0996
8.54 2.433059 1.128156 39.38568 251.9295 240.6933
8.559999 2.557082 1.221745 36.32044 251.7885 242.223
8.58 2.677182 1.317055 33.26224 251.5552 243.7044
8.599999 2.793357 1.414158 30.21299 251.2384 245.1507
8.62 2.905609 1.513109 27.17446 250.8448 246.573
8.639999 3.013936 1.613936 24.14842 250.3791 247.981
8.66 3.11834 1.716652 21.13659 249.8445 249.3832
8.679999 3.218819 1.821243 18.14074 249.2431 250.7876
8.7 3.315374 1.927679 15.16271 248.5759 252.2012
8.72 3.408006 2.035905 12.2044 247.8428 253.631
8.74 3.496713 2.145849 9.267886 247.0432 255.0837
8.76 3.581497 2.257418 6.355357 246.1755 256.5659
8.78 3.662356 2.370498 3.469212 245.2374 258.084
8.8 3.739292 2.48496 0.6120717 244.2258 259.6449
8.82 3.812303 2.592927 357.7868 243.1373 261.2554
8.84 3.881391 2.699963 354.9966 241.9673 262.9228
8.86 3.946554 2.808052 352.2451 240.7109 264.6545
8.88 4.007793 2.917027 349.536 239.3624 266.4586
8.9 4.065109 3.026705 346.8739 237.9151 268.3434
8.92 4.1185 3.120862 344.2635 236.3622 270.3179
8.94 4.167968 3.128501 341.7105 234.6956 272.3915
8.96 4.213511 3.134221 339.2209 232.907 274.5739
8.98 4.255131 3.138155 336.8015 230.9874 276.8754
9 4.292826 3.14043 334.46 228.9274 279.3066
9.02 4.326598 3.141163 332.2048 226.7175 281.8782
9.04 4.356445 3.140463 330.0454 224.348 284.6006
9.059999 4.382369 3.138426 327.992 221.8102 287.4836
9.08 4.404368 3.135144 326.056 219.0961 290.5359
9.099999 4.422443 3.130696 324.2493 216.1995 293.7646
9.12 4.436595 3.125153 322.585 213.1169 297.1737
9.139999 4.446823 3.118574 321.0763 209.8483 300.7642
9.16 4.453126 3.111007 319.737 206.3982 304.532
9.179999 4.455505 3.102492 318.5805 202.7766 308.4677
9.2 4.453961 3.093058 317.6195 198.9997 312.5559
9.22 4.448493 3.082722 316.8654 195.0901 316.7745
9.24 4.4391 3.071493 316.3278 191.0767 321.0949
9.26 4.425783 3.059366 316.0135 186.994 325.4835
9.28 4.408543 3.046329 315.9264 182.8801 329.9024
